Пакет,Уязвимость,Оперативное обновление
blender,CVE-2022-0546,БЮЛЛЕТЕНЬ №2022-0819SE17 (1.7.2)
bluez,CVE-2020-26558,БЮЛЛЕТЕНЬ №2022-0819SE17 (1.7.2)
bluez,CVE-2020-27153,БЮЛЛЕТЕНЬ №2022-0819SE17 (1.7.2)
bluez,CVE-2021-3588,БЮЛЛЕТЕНЬ №2022-0819SE17 (1.7.2)
bluez,CVE-2021-3658,БЮЛЛЕТЕНЬ №2022-0819SE17 (1.7.2)
bluez,CVE-2021-43400,БЮЛЛЕТЕНЬ №2022-0819SE17 (1.7.2)
bluez,CVE-2022-0204,БЮЛЛЕТЕНЬ №2022-0819SE17 (1.7.2)
bluez,CVE-2022-39176,БЮЛЛЕТЕНЬ №2022-1221SE17MD (1.7.3.UU.1)
bluez,CVE-2022-39177,БЮЛЛЕТЕНЬ №2022-1221SE17MD (1.7.3.UU.1)
busybox,CVE-2018-1000500,БЮЛЛЕТЕНЬ №2022-0819SE17 (1.7.2)
busybox,CVE-2021-28831,БЮЛЛЕТЕНЬ №2022-0819SE17 (1.7.2)
busybox,CVE-2021-38185,БЮЛЛЕТЕНЬ №2022-0819SE17 (1.7.2)
busybox,CVE-2021-42374,БЮЛЛЕТЕНЬ №2022-0819SE17 (1.7.2)
busybox,CVE-2021-42378,БЮЛЛЕТЕНЬ №2022-0819SE17 (1.7.2)
busybox,CVE-2021-42379,БЮЛЛЕТЕНЬ №2022-0819SE17 (1.7.2)
busybox,CVE-2021-42380,БЮЛЛЕТЕНЬ №2022-0819SE17 (1.7.2)
busybox,CVE-2021-42381,БЮЛЛЕТЕНЬ №2022-0819SE17 (1.7.2)
busybox,CVE-2021-42382,БЮЛЛЕТЕНЬ №2022-0819SE17 (1.7.2)
busybox,CVE-2021-42385,БЮЛЛЕТЕНЬ №2022-0819SE17 (1.7.2)
busybox,CVE-2021-42386,БЮЛЛЕТЕНЬ №2022-0819SE17 (1.7.2)
busybox,CVE-2022-28391,БЮЛЛЕТЕНЬ №2023-0303SE17MD (1.7.3.UU.2)
busybox,CVE-2022-30065,БЮЛЛЕТЕНЬ №2023-0426SE17 (1.7.4)
c-ares,CVE-2020-22217,БЮЛЛЕТЕНЬ №2024-0212SE17 (1.7.5.UU.1)
c-ares,CVE-2021-3672,БЮЛЛЕТЕНЬ №2021-1126SE17 (1.7.1)
c-ares,CVE-2022-4904,БЮЛЛЕТЕНЬ №2023-0303SE17MD (1.7.3.UU.2)
c-ares,CVE-2023-31130,БЮЛЛЕТЕНЬ №2023-1023SE17 (1.7.5)
c-ares,CVE-2023-32067,БЮЛЛЕТЕНЬ №2023-1023SE17 (1.7.5)
cairo,CVE-2019-6462,БЮЛЛЕТЕНЬ №2023-1023SE17 (1.7.5)
cairo,CVE-2020-35492,БЮЛЛЕТЕНЬ №2021-1126SE17 (1.7.1)
ceph,CVE-2021-20288,БЮЛЛЕТЕНЬ №2021-1126SE17 (1.7.1)
ceph,CVE-2021-3509,БЮЛЛЕТЕНЬ №2021-1126SE17 (1.7.1)
ceph,CVE-2021-3524,БЮЛЛЕТЕНЬ №2021-1126SE17 (1.7.1)
ceph,CVE-2021-3531,БЮЛЛЕТЕНЬ №2021-1126SE17 (1.7.1)
ceph,CVE-2021-3979,БЮЛЛЕТЕНЬ №2022-1110SE17 (1.7.3)
ceph,CVE-2022-0670,БЮЛЛЕТЕНЬ №2022-1110SE17 (1.7.3)
ceph,CVE-2022-3650,БЮЛЛЕТЕНЬ №2023-0426SE17 (1.7.4)
ceph,CVE-2022-3854,БЮЛЛЕТЕНЬ №2023-0426SE17 (1.7.4)
cgal,CVE-2020-28601,БЮЛЛЕТЕНЬ №2022-1221SE17MD (1.7.3.UU.1)
cgal,CVE-2020-28602,БЮЛЛЕТЕНЬ №2022-1221SE17MD (1.7.3.UU.1)
cgal,CVE-2020-28603,БЮЛЛЕТЕНЬ №2022-1221SE17MD (1.7.3.UU.1)
cgal,CVE-2020-28604,БЮЛЛЕТЕНЬ №2022-1221SE17MD (1.7.3.UU.1)
cgal,CVE-2020-28605,БЮЛЛЕТЕНЬ №2022-1221SE17MD (1.7.3.UU.1)
cgal,CVE-2020-28606,БЮЛЛЕТЕНЬ №2022-1221SE17MD (1.7.3.UU.1)
cgal,CVE-2020-28607,БЮЛЛЕТЕНЬ №2022-1221SE17MD (1.7.3.UU.1)
cgal,CVE-2020-28608,БЮЛЛЕТЕНЬ №2022-1221SE17MD (1.7.3.UU.1)
cgal,CVE-2020-28609,БЮЛЛЕТЕНЬ №2022-1221SE17MD (1.7.3.UU.1)
cgal,CVE-2020-28610,БЮЛЛЕТЕНЬ №2022-1221SE17MD (1.7.3.UU.1)
cgal,CVE-2020-28611,БЮЛЛЕТЕНЬ №2022-1221SE17MD (1.7.3.UU.1)
cgal,CVE-2020-28612,БЮЛЛЕТЕНЬ №2022-1221SE17MD (1.7.3.UU.1)
